exp_name,problem,pc_train,pc_val,lr,num_trainimages,epochs
resnet50_set9_lr0.0003_numtrain100_augment1_epochmult10_v1,9,1.0,0.8016071319580078,0.0003,100,2800
resnet50_set9_lr0.0001_numtrain100_augment1_epochmult10_v1,9,1.0,0.8030356764793396,0.0001,100,2800
resnet50_set9_lr6e-05_numtrain100_augment1_epochmult10_v1,9,1.0,0.6862499713897705,5.9999999999999995e-05,100,2800
resnet50_set10_lr0.0003_numtrain100_augment1_epochmult10_v1,10,1.0,0.9648213982582092,0.0003,100,2800
resnet50_set10_lr0.0001_numtrain100_augment1_epochmult10_v1,10,1.0,0.9551785588264464,0.0001,100,2800
resnet50_set10_lr6e-05_numtrain100_augment1_epochmult10_v1,10,1.0,0.9080356955528259,6e-05,100,2800
resnet50_set11_lr0.0003_numtrain100_augment1_epochmult10_v1,11,1.0,0.9976785778999328,0.0003,100,2800
resnet50_set11_lr0.0001_numtrain100_augment1_epochmult10_v1,11,1.0,0.9760714173316956,0.0001,100,2800
resnet50_set11_lr6e-05_numtrain100_augment1_epochmult10_v1,11,1.0,0.9564285874366759,5.9999999999999995e-05,100,2800
resnet50_set12_lr0.0003_numtrain100_augment1_epochmult10_v1,12,1.0,0.9364285469055176,0.0003,100,2800
resnet50_set12_lr0.0001_numtrain100_augment1_epochmult10_v0,12,1.0,0.785178542137146,0.0001,100,2800
resnet50_set12_lr6e-05_numtrain100_augment1_epochmult10_v0,12,1.0,0.7605357170104979,6e-05,100,2800
resnet50_set13_lr0.0003_numtrain100_augment1_epochmult10_v0,13,1.0,0.6226785778999329,0.0003,100,2800
resnet50_set13_lr0.0001_numtrain100_augment1_epochmult10_v0,13,1.0,0.5867857336997986,0.0001,100,2800
resnet50_set13_lr6e-05_numtrain100_augment1_epochmult10_v0,13,1.0,0.5735714435577393,5.9999999999999995e-05,100,2800
resnet50_set14_lr0.0003_numtrain100_augment1_epochmult10_v0,14,1.0,0.7362499833106995,0.0003,100,2800
resnet50_set14_lr0.0001_numtrain100_augment1_epochmult10_v0,14,1.0,0.7380356788635254,0.0001,100,2800
resnet50_set14_lr6e-05_numtrain100_augment1_epochmult10_v0,14,1.0,0.7264285683631897,6e-05,100,2800
resnet50_set15_lr0.0003_numtrain100_augment1_epochmult10_v0,15,1.0,0.8533928394317627,0.0003,100,2800
resnet50_set15_lr0.0001_numtrain100_augment1_epochmult10_v0,15,1.0,0.8696428537368774,0.0001,100,2800
resnet50_set15_lr6e-05_numtrain100_augment1_epochmult10_v0,15,1.0,0.8358928561210632,5.9999999999999995e-05,100,2800
resnet50_set16_lr0.0003_numtrain100_augment1_epochmult10_v0,16,1.0,0.8466071486473083,0.0003,100,2800
resnet50_set16_lr0.0001_numtrain100_augment1_epochmult10_v0,16,1.0,0.8364285826683044,0.0001,100,2800
resnet50_set16_lr6e-05_numtrain100_augment1_epochmult10_v0,16,1.0,0.7155357003211975,6e-05,100,2800
