exp_name,problem,pc_train,pc_val,lr,num_trainimages,epochs,pretrained
resnet50_set22_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,22,1.0,0.8221428394317627,0.0006,1000,280,0
resnet50_set22_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,22,1.0,0.5298213958740234,0.0003,1000,280,0
resnet50_set23_pretrained0_lr0.001_numtrain1000_augment1_epochmult10_v0,23,1.0,0.998214304447174,0.001,1000,280,0
resnet50_set23_pretrained0_lr0.0006_numtrain1000_augment1_epochmult10_v0,23,1.0,0.9957142472267152,0.0006,1000,280,0
resnet50_set23_pretrained0_lr0.0003_numtrain1000_augment1_epochmult10_v0,23,1.0,0.9282142519950868,0.0003,1000,280,0
resnet50_set1_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,1,1.0,0.5,0.001,100,2800,0
resnet50_set1_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,1,1.0,0.5,0.0006,100,2800,0
resnet50_set1_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,1,1.0,0.501964271068573,0.0003,100,2800,0
resnet50_set2_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,2,1.0,0.993392825126648,0.001,100,2800,0
resnet50_set2_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,2,1.0,0.991428554058075,0.0006,100,2800,0
resnet50_set2_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,2,1.0,0.9785714149475098,0.0003,100,2800,0
resnet50_set3_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,3,1.0,0.9639285802841188,0.001,100,2800,0
resnet50_set3_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,3,1.0,0.951964259147644,0.0006,100,2800,0
resnet50_set3_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,3,1.0,0.8991071581840515,0.0003,100,2800,0
resnet50_set4_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,4,1.0,0.9216071367263794,0.001,100,2800,0
resnet50_set4_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,4,1.0,0.9085714221000672,0.0006,100,2800,0
resnet50_set4_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,4,1.0,0.904464304447174,0.0003,100,2800,0
resnet50_set5_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,5,1.0,0.5024999976158142,0.001,100,2800,0
resnet50_set5_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,5,1.0,0.5008928775787354,0.0006,100,2800,0
resnet50_set5_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,5,1.0,0.5,0.0003,100,2800,0
resnet50_set6_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,6,1.0,0.5408928394317627,0.001,100,2800,0
resnet50_set6_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,6,1.0,0.5608928799629211,0.0006,100,2800,0
resnet50_set6_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,6,1.0,0.560535728931427,0.0003,100,2800,0
resnet50_set7_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,7,1.0,0.5,0.001,100,2800,0
resnet50_set7_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,7,1.0,0.5137500166893005,0.0006,100,2800,0
resnet50_set7_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,7,1.0,0.512321412563324,0.0003,100,2800,0
resnet50_set8_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,8,1.0,0.8887500166893005,0.001,100,2800,0
resnet50_set8_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,8,1.0,0.8896428346633911,0.0006,100,2800,0
resnet50_set8_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,8,1.0,0.8773214221000671,0.0003,100,2800,0
resnet50_set9_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,9,1.0,0.5874999761581421,0.001,100,2800,0
resnet50_set9_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,9,1.0,0.5707142949104309,0.0006,100,2800,0
resnet50_set9_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,9,1.0,0.5619642734527588,0.0003,100,2800,0
resnet50_set10_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,10,1.0,0.8910714387893677,0.001,100,2800,0
resnet50_set10_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,10,1.0,0.8985714316368103,0.0006,100,2800,0
resnet50_set10_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,10,1.0,0.7966071367263794,0.0003,100,2800,0
resnet50_set11_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,11,1.0,0.983214259147644,0.001,100,2800,0
resnet50_set11_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,11,1.0,0.9716071486473083,0.0006,100,2800,0
resnet50_set11_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,11,1.0,0.9467856884002686,0.0003,100,2800,0
resnet50_set12_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,12,1.0,0.8878571391105652,0.001,100,2800,0
resnet50_set12_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,12,1.0,0.6441071629524231,0.0006,100,2800,0
resnet50_set12_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,12,1.0,0.7071428298950195,0.0003,100,2800,0
resnet50_set13_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,13,1.0,0.5182142853736877,0.001,100,2800,0
resnet50_set13_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,13,1.0,0.5249999761581421,0.0006,100,2800,0
resnet50_set13_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,13,1.0,0.5135714411735535,0.0003,100,2800,0
resnet50_set14_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,14,1.0,0.6521428227424622,0.001,100,2800,0
resnet50_set14_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,14,1.0,0.6573213934898376,0.0006,100,2800,0
resnet50_set14_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,14,1.0,0.6566071510314941,0.0003,100,2800,0
resnet50_set15_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,15,1.0,0.5121428370475769,0.001,100,2800,0
resnet50_set15_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,15,1.0,0.5508928298950195,0.0006,100,2800,0
resnet50_set15_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,15,1.0,0.5467857122421265,0.0003,100,2800,0
resnet50_set16_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,16,1.0,0.5098214149475098,0.001,100,2800,0
